,kernel,cv,gamma,degree,E_in,E_out,mean_score_cv
0,rbf,2,1,,0.09496855345911948,0.03459119496855346,0.9037735849056604
1,rbf,5,1,,0.09496855345911948,0.03459119496855346,0.9059299191374663
2,rbf,10,1,,0.09496855345911948,0.03459119496855346,0.9045822102425876
3,rbf,2,0.5,,0.10188679245283017,0.033962264150943396,0.9010781671159029
4,rbf,5,0.5,,0.10188679245283017,0.033962264150943396,0.9040431266846362
5,rbf,10,0.5,,0.10188679245283017,0.033962264150943396,0.902964959568733
6,rbf,2,0.01,,0.42452830188679247,0.4169811320754717,0.5512129380053908
7,rbf,5,0.01,,0.42452830188679247,0.4169811320754717,0.5574123989218329
8,rbf,10,0.01,,0.42452830188679247,0.4169811320754717,0.5630727762803235
9,sigmoid,2,1,,0.7163522012578616,0.029559748427672956,0.2808625336927224
10,sigmoid,5,1,,0.7163522012578616,0.029559748427672956,0.28059299191374665
11,sigmoid,10,1,,0.7163522012578616,0.029559748427672956,0.2795148247978437
12,sigmoid,2,0.5,,0.7069182389937108,0.022641509433962263,0.28679245283018867
13,sigmoid,5,0.5,,0.7069182389937108,0.022641509433962263,0.2884097035040431
14,sigmoid,10,0.5,,0.7069182389937108,0.022641509433962263,0.28867924528301886
15,sigmoid,2,0.01,,0.44842767295597485,0.44842767295597485,0.5517520215633424
16,sigmoid,5,0.01,,0.44842767295597485,0.44842767295597485,0.5517520215633422
17,sigmoid,10,0.01,,0.44842767295597485,0.44842767295597485,0.5517520215633424
18,linear,2,,,0.44842767295597485,0.44842767295597485,0.5517520215633424
19,linear,5,,,0.44842767295597485,0.44842767295597485,0.5517520215633422
20,linear,10,,,0.44842767295597485,0.44842767295597485,0.5517520215633424
21,poly,2,,3.0,0.3584905660377359,0.2339622641509434,0.6331536388140162
22,poly,5,,3.0,0.3584905660377359,0.2339622641509434,0.6309973045822103
23,poly,10,,3.0,0.3584905660377359,0.2339622641509434,0.6304582210242587
